symbol,time,open,high,low,close,volume,ROC,Histogram,MACD,Signal,ADX,C-O,EMA_50,ATR_14
PRSO,2026-03-03 23:20:00,0.9,0.9,0.9,0.9,1063.0,-4.255319148936165,-0.004658266512318666,-0.006391124506330503,-0.0017328579940118374,12.482074894308814,0.0,0.9150306902134658,0.015659442364876913
PRSO,2026-03-03 23:25:00,0.91,0.91,0.91,0.91,100.0,-3.1914893617021156,-0.003465633990727711,-0.006064900482421476,-0.002599266491693765,12.169203008130554,0.0,0.9148334082443104,0.01525519648167142
PRSO,2026-03-03 23:30:00,0.9101,0.9101,0.88,0.88,29131.0,-6.492402507703754,-0.00442727366892483,-0.008133358577849803,-0.0037060849089249727,13.359064329896691,-0.030100000000000016,0.9134673922347296,0.01631553959012346
PRSO,2026-03-03 23:35:00,0.8801,0.8801,0.8801,0.8801,300.0,-3.814207650273227,-0.004757756352647315,-0.009653280349734117,-0.004895523997086802,14.463935557250961,0.0,0.9121588670490539,0.0151572867622575
PRSO,2026-03-03 23:40:00,0.8806,0.8899,0.862,0.8899,10113.0,-3.271739130434781,-0.004045442383244257,-0.009952326976142123,-0.005906884592897866,16.18279086334767,0.009299999999999975,0.9112859703020322,0.016067480564953395
PRSO,2026-03-03 23:45:00,0.8899,0.8899,0.8898,0.8898,508.0,-2.562417871222078,-0.003339438839604307,-0.01008118314240325,-0.006741744302798942,17.77887079043747,-9.999999999998899e-05,0.9104433832313642,0.014926946238885295
PRSO,2026-03-03 23:50:00,0.8505,0.8505,0.84,0.8403,6696.0,-6.6333333333333355,-0.005819381756930579,-0.014015971498962165,-0.008196589742031586,20.591798135595713,-0.010199999999999987,0.9076926623203303,0.017417878650393494
PRSO,2026-03-03 23:55:00,0.85,0.867,0.85,0.867,2101.0,-3.6666666666666736,-0.0052900419572433355,-0.014809142188585755,-0.00951910023134242,22.108244571021835,0.017000000000000015,0.9060968716411016,0.018080887318222525
PRSO,2026-03-04 00:05:00,0.875,0.8908,0.8745,0.8745,9250.0,-2.8225358373152543,-0.004115532986631431,-0.01466351646463171,-0.010547983478000279,22.182810974550325,-0.0004999999999999449,0.9048577786355683,0.01848939536692092
PRSO,2026-03-04 00:15:00,0.8979,0.898,0.8979,0.8979,300.0,0.10033444816053283,-0.0015741331928472123,-0.012515649969059295,-0.010941516776212083,21.890296533677038,0.0,0.9045849245714284,0.01884729569785514
PRSO,2026-03-04 00:20:00,0.8744,0.8744,0.8744,0.8744,283.0,-2.8444444444444494,-0.0012986777539162088,-0.012564863968607343,-0.011266186214691134,22.35761175121316,0.0,0.9034012020392155,0.019179631719436922
PRSO,2026-03-04 00:25:00,0.8823,0.8823,0.8754,0.8754,1000.0,-3.8021978021978153,-0.0008914194544179556,-0.012380460532713577,-0.011489041078295622,22.39044031909734,-0.006900000000000017,0.9023031156847364,0.018373943739477143
PRSO,2026-03-04 00:30:00,0.8744,0.8744,0.8744,0.8744,525.0,-0.636363636363646,-0.0005485024307670758,-0.012174669116754466,-0.01162616668598739,22.45358892353138,0.0,0.9012088758539625,0.01713294775808592
PRSO,2026-03-04 00:40:00,0.8999,0.9,0.89,0.89,5700.0,1.1248721736166312,0.0007967338180205601,-0.01063024941346169,-0.01142698323148225,21.275853600185492,-0.00990000000000002,0.9007693120949836,0.01773773720393693
PRSO,2026-03-04 00:50:00,0.9,0.9,0.89,0.89,1732.0,0.011237217664894494,0.0017023133588252234,-0.00929909153295072,-0.011001404891775944,20.182242228507167,-0.010000000000000009,0.9003469861304744,0.017185041689370007
